,,,trend,p_value,slope,baseline mean,45-yr increase,percentage increase
box_A,size,Mann-Kendall,increasing,3.3744750354003372e-06,5812.847712468475,460040.85974946606,261578.14706108137,56.85976397912446
box_A,frequency,Mann-Kendall,increasing,9.447091067205093e-07,1.2696969696969695,132.8,57.136363636363626,43.02437020810513
box_B,size,Mann-Kendall,increasing,0.0003562369148175648,8525.8558540737,1133186.9249727437,383663.5134333165,33.85703673227121
box_B,frequency,Mann-Kendall,increasing,1.9780903626198665e-07,0.930952380952381,141.3,41.892857142857146,29.648164998483466
box_C,size,Mann-Kendall,increasing,3.504665952647201e-05,12037.638931191494,1120783.2086691244,541693.7519036172,48.33171551051806
box_C,frequency,Mann-Kendall,increasing,0.029679094260129046,0.31625000000000003,103.0,14.231250000000001,13.816747572815535
box_D,size,Mann-Kendall,increasing,0.0001416196092791644,5350.484818426585,498365.57638126146,240771.81682919632,48.312288857808305
box_D,frequency,Mann-Kendall,increasing,0.03293687875251261,0.8360215053763441,161.8,37.62096774193549,23.25152518042984
box_E,size,Mann-Kendall,no trend,0.47515956936817516,576.1250824716712,724084.5925392719,25925.628711225207,3.580469599595725
box_E,frequency,Mann-Kendall,no trend,0.06284687056223381,0.3550420168067227,112.6,15.976890756302522,14.189068167231369
